age,age_cat,coninc,coninc_cat,coninc_log,decrease_imm,degree,hs_or_college,letin1a,othlang,partyid,president,race,sex,year,vstrat,vpsu,wtsscomp
43,40-49,19724.375,<20K,9.889610459534,Decrease,HS or assoc,HS or less,Reduced a lot,Yes,Democrat,Obama,Other,Male,2008,2114.0,1.0,1.067670125
62,60-69,,,,Increase or stay the same,College,Some college,Remain the same,No,Republican,Obama,White,Female,2008,2114.0,2.0,1.067670125
43,40-49,,,,,HS or assoc,Some college,,Yes,Democrat,Obama,White,Male,2008,2114.0,2.0,0.437744751
50,50-59,7474.5,<20K,8.919252506389569,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Democrat,Obama,Other,Male,2008,2114.0,2.0,1.067670125
65,60-69,,,,Decrease,HS or assoc,HS or less,Reduced a lot,Yes,Republican,Obama,White,Female,2008,2114.0,2.0,0.875489503
38,30-39,116270.0,100K-160K,11.663670351662654,,College,Some college,,No,Republican,Obama,White,Male,2008,2115.0,1.0,2.135340251
40,40-49,68516.25,60K-80K,11.134826222393984,,College,Some college,,No,Democrat,Obama,White,Female,2008,2115.0,1.0,0.875489503
45,40-49,13495.625,<20K,9.510120837829096,Decrease,HS or assoc,HS or less,Reduced a lot,No,Republican,Obama,White,Female,2008,2115.0,2.0,0.437744751
58,50-59,31143.75,30K-40K,10.346368862029715,,HS or assoc,HS or less,,No,Democrat,Obama,White,Male,2008,2115.0,2.0,0.875489503
56,50-59,175621.4138,160K+,12.076085899217535,,College,Some college,,No,Republican,Obama,White,Female,2008,2115.0,2.0,0.875489503
61,60-69,37372.5,30K-40K,10.52869041882367,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Democrat,Obama,White,Male,2008,2115.0,2.0,0.437744751
28,18-29,,,,,HS or assoc,HS or less,,No,Republican,Obama,White,Female,2008,2115.0,2.0,2.135340251
64,60-69,83050.0,80K-100K,11.32719811504144,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Democrat,Obama,White,Female,2008,2115.0,2.0,0.875489503
68,60-69,,,,Decrease,HS or assoc,Some college,Reduced a little,No,Democrat,Obama,White,Male,2008,2116.0,1.0,0.437744751
35,30-39,56058.75,40K-60K,10.934155526931834,,HS or assoc,HS or less,,No,Republican,Obama,White,Female,2008,2116.0,1.0,0.875489503
39,30-39,37372.5,30K-40K,10.52869041882367,Decrease,HS or assoc,HS or less,Reduced a lot,No,Democrat,Obama,White,Female,2008,2116.0,1.0,0.437744751
47,40-49,,,,Increase or stay the same,HS or assoc,HS or less,Remain the same,Yes,Democrat,Obama,White,Female,2008,2116.0,2.0,2.135340251
46,40-49,,,,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,White,Male,2008,2116.0,2.0,0.437744751
50,50-59,,,,Decrease,College,Some college,Reduced a little,No,Democrat,Obama,White,Female,2008,2116.0,2.0,0.437744751
50,50-59,56058.75,40K-60K,10.934155526931834,,College,Some college,,No,Democrat,Obama,Black,Male,2008,2117.0,1.0,0.875489503
19,18-29,56058.75,40K-60K,10.934155526931834,Decrease,HS or assoc,HS or less,Reduced a little,No,Democrat,Obama,Black,Female,2008,2117.0,1.0,1.750979005
60,60-69,9343.125,<20K,9.14239605770378,Increase or stay the same,No degree,HS or less,Remain the same,Yes,Democrat,Obama,Other,Male,2008,2117.0,1.0,2.135340251
51,50-59,116270.0,100K-160K,11.663670351662654,Decrease,HS or assoc,Some college,Reduced a lot,No,Independent,Obama,White,Female,2008,2117.0,2.0,1.313234254
70,70+,175621.4138,160K+,12.076085899217535,Decrease,HS or assoc,Some college,Reduced a lot,No,Republican,Obama,White,Male,2008,2117.0,2.0,0.437744751
40,40-49,,,,,HS or assoc,HS or less,,No,Democrat,Obama,White,Male,2008,2117.0,2.0,0.875489503
54,50-59,175621.4138,160K+,12.076085899217535,Decrease,HS or assoc,HS or less,Reduced a lot,Yes,Democrat,Obama,White,Male,2008,2117.0,2.0,1.313234254
43,40-49,175621.4138,160K+,12.076085899217535,Decrease,College,Some college,Reduced a lot,No,Republican,Obama,White,Male,2008,2118.0,1.0,2.135340251
33,30-39,31143.75,30K-40K,10.346368862029715,Increase or stay the same,HS or assoc,Some college,Increased a lot,No,Republican,Obama,White,Male,2008,2118.0,1.0,1.313234254
63,60-69,,,,Decrease,HS or assoc,HS or less,Reduced a lot,No,Democrat,Obama,White,Female,2008,2118.0,1.0,0.875489503
60,60-69,83050.0,80K-100K,11.32719811504144,,HS or assoc,HS or less,,No,Democrat,Obama,White,Female,2008,2118.0,1.0,1.313234254
57,50-59,175621.4138,160K+,12.076085899217535,Increase or stay the same,HS or assoc,HS or less,Increased a little,No,Democrat,Obama,White,Male,2008,2118.0,2.0,0.875489503
29,18-29,99660.0,80K-100K,11.509519671835395,Decrease,College,Some college,Reduced a lot,No,Republican,Obama,White,Male,2008,2118.0,2.0,0.875489503
57,50-59,56058.75,40K-60K,10.934155526931834,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,White,Female,2008,2118.0,2.0,0.437744751
48,40-49,116270.0,100K-160K,11.663670351662654,Increase or stay the same,College,Some college,Remain the same,No,Democrat,Obama,White,Female,2008,2118.0,2.0,0.875489503
27,18-29,45677.5,40K-60K,10.72936111428582,,No degree,HS or less,,Yes,Independent,Obama,Other,Female,2008,2118.0,2.0,1.750979005
89,70+,,,,,HS or assoc,HS or less,,No,,Obama,White,Male,2008,2119.0,1.0,0.875489503
44,40-49,175621.4138,160K+,12.076085899217535,Decrease,HS or assoc,HS or less,Reduced a lot,No,Republican,Obama,White,Female,2008,2119.0,1.0,2.188723757
63,60-69,56058.75,40K-60K,10.934155526931834,,HS or assoc,HS or less,,No,Republican,Obama,White,Female,2008,2119.0,1.0,0.437744751
,,,,,Decrease,HS or assoc,HS or less,Reduced a lot,Yes,,Obama,White,Female,2008,2119.0,1.0,0.437744751
35,30-39,99660.0,80K-100K,11.509519671835395,Decrease,College,Some college,Reduced a little,Yes,Democrat,Obama,White,Female,2008,2119.0,1.0,2.135340251
19,18-29,,,,Decrease,No degree,HS or less,Reduced a lot,Yes,Democrat,Obama,White,Male,2008,2119.0,2.0,0.875489503
83,70+,26991.25,20K-30K,10.203268018389041,Decrease,HS or assoc,HS or less,Reduced a little,No,Democrat,Obama,White,Male,2008,2119.0,2.0,0.875489503
76,70+,15571.875,<20K,9.65322168146977,,No degree,HS or less,,No,Republican,Obama,White,Female,2008,2119.0,2.0,0.437744751
21,18-29,15571.875,<20K,9.65322168146977,Increase or stay the same,No degree,HS or less,Remain the same,Yes,Independent,Obama,Other,Male,2008,2119.0,2.0,1.750979005
41,40-49,116270.0,100K-160K,11.663670351662654,Increase or stay the same,HS or assoc,Some college,Remain the same,No,Democrat,Obama,White,Female,2008,2119.0,2.0,1.313234254
66,60-69,175621.4138,160K+,12.076085899217535,Decrease,HS or assoc,HS or less,Reduced a little,Yes,Democrat,Obama,White,Male,2008,2120.0,1.0,0.875489503
60,60-69,99660.0,80K-100K,11.509519671835395,,HS or assoc,HS or less,,No,Republican,Obama,White,Female,2008,2120.0,1.0,0.437744751
25,18-29,175621.4138,160K+,12.076085899217535,Decrease,College,Some college,Reduced a little,No,Democrat,Obama,White,Male,2008,2120.0,1.0,1.313234254
34,30-39,68516.25,60K-80K,11.134826222393984,Decrease,College,Some college,Reduced a little,Yes,Democrat,Obama,White,Female,2008,2120.0,1.0,0.875489503
34,30-39,175621.4138,160K+,12.076085899217535,,College,Some college,,No,Democrat,Obama,White,Female,2008,2120.0,1.0,0.875489503
71,70+,,,,Decrease,College,Some college,Reduced a lot,No,Republican,Obama,White,Male,2008,2120.0,2.0,0.875489503
56,50-59,175621.4138,160K+,12.076085899217535,Increase or stay the same,HS or assoc,HS or less,Increased a lot,No,Republican,Obama,White,Male,2008,2120.0,2.0,2.188723757
48,40-49,175621.4138,160K+,12.076085899217535,Decrease,College,Some college,Reduced a little,No,Republican,Obama,White,Female,2008,2120.0,2.0,0.437744751
27,18-29,175621.4138,160K+,12.076085899217535,,College,Some college,,No,Democrat,Obama,White,Male,2008,2121.0,1.0,1.313234254
81,70+,17648.125,<20K,9.778384824423775,,HS or assoc,HS or less,,Yes,Democrat,Obama,White,Female,2008,2121.0,1.0,0.437744751
73,70+,175621.4138,160K+,12.076085899217535,,College,Some college,,Yes,Republican,Obama,White,Male,2008,2121.0,1.0,0.875489503
62,60-69,175621.4138,160K+,12.076085899217535,Increase or stay the same,College,Some college,Increased a lot,Yes,Democrat,Obama,White,Female,2008,2121.0,1.0,0.875489503
48,40-49,415.25,<20K,6.028880748493404,,College,Some college,,No,Republican,Obama,White,Female,2008,2121.0,2.0,0.437744751
52,50-59,99660.0,80K-100K,11.509519671835395,Decrease,College,Some college,Reduced a lot,No,Democrat,Obama,White,Female,2008,2121.0,2.0,0.875489503
34,30-39,68516.25,60K-80K,11.134826222393984,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,Other,Female,2008,2121.0,2.0,0.437744751
27,18-29,83050.0,80K-100K,11.32719811504144,,College,Some college,,No,Independent,Obama,White,Male,2008,2121.0,2.0,2.135340251
58,50-59,11419.375,<20K,9.34306675316593,Increase or stay the same,HS or assoc,HS or less,Increased a little,Yes,Republican,Obama,Other,Male,2008,2122.0,1.0,0.437744751
24,18-29,22838.75,20K-30K,10.036213933725875,Increase or stay the same,No degree,HS or less,Increased a little,Yes,Democrat,Obama,Other,Male,2008,2122.0,1.0,0.875489503
20,18-29,22838.75,20K-30K,10.036213933725875,Decrease,No degree,HS or less,Reduced a little,Yes,Republican,Obama,White,Male,2008,2122.0,1.0,1.313234254
68,60-69,7474.5,<20K,8.919252506389569,Decrease,HS or assoc,HS or less,Reduced a little,Yes,Republican,Obama,Other,Male,2008,2122.0,1.0,0.437744751
41,40-49,68516.25,60K-80K,11.134826222393984,Increase or stay the same,HS or assoc,HS or less,Remain the same,Yes,Democrat,Obama,White,Male,2008,2122.0,1.0,0.875489503
24,18-29,99660.0,80K-100K,11.509519671835395,Decrease,HS or assoc,Some college,Reduced a little,No,Democrat,Obama,White,Female,2008,2122.0,2.0,1.313234254
39,30-39,,,,Increase or stay the same,College,Some college,Increased a little,Yes,Independent,Obama,Other,Female,2008,2122.0,2.0,0.875489503
47,40-49,19724.375,<20K,9.889610459534,,HS or assoc,HS or less,,No,Independent,Obama,White,Male,2008,2123.0,1.0,0.875489503
40,40-49,83050.0,80K-100K,11.32719811504144,,HS or assoc,HS or less,,No,Independent,Obama,White,Male,2008,2123.0,1.0,2.135340251
47,40-49,175621.4138,160K+,12.076085899217535,,College,Some college,,Yes,Democrat,Obama,White,Female,2008,2123.0,2.0,1.313234254
27,18-29,68516.25,60K-80K,11.134826222393984,,College,Some college,,No,Republican,Obama,White,Male,2008,2123.0,2.0,0.875489503
61,60-69,175621.4138,160K+,12.076085899217535,Increase or stay the same,College,Some college,Increased a little,No,Democrat,Obama,White,Male,2008,2123.0,2.0,2.135340251
47,40-49,83050.0,80K-100K,11.32719811504144,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Democrat,Obama,White,Male,2008,2123.0,2.0,0.437744751
23,18-29,1661.0,<20K,7.415175109613295,,College,Some college,,Yes,Independent,Obama,White,Female,2008,2124.0,1.0,0.875489503
45,40-49,56058.75,40K-60K,10.934155526931834,Increase or stay the same,College,Some college,Remain the same,No,Democrat,Obama,White,Female,2008,2124.0,1.0,1.313234254
33,30-39,7474.5,<20K,8.919252506389569,,No degree,HS or less,,No,Democrat,Obama,Other,Female,2008,2124.0,2.0,1.067670125
27,18-29,37372.5,30K-40K,10.52869041882367,,HS or assoc,HS or less,,No,Democrat,Obama,Other,Female,2008,2124.0,2.0,0.437744751
18,18-29,56058.75,40K-60K,10.934155526931834,,HS or assoc,Some college,,Yes,Democrat,Obama,Black,Male,2008,2124.0,2.0,3.203010376
61,60-69,7474.5,<20K,8.919252506389569,,HS or assoc,HS or less,,No,Republican,Obama,White,Male,2008,2125.0,1.0,0.875489503
79,70+,31143.75,30K-40K,10.346368862029715,,HS or assoc,Some college,,Yes,Republican,Obama,White,Male,2008,2125.0,1.0,1.067670125
36,30-39,99660.0,80K-100K,11.509519671835395,,HS or assoc,HS or less,,Yes,Republican,Obama,White,Female,2008,2125.0,1.0,2.135340251
30,30-39,68516.25,60K-80K,11.134826222393984,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,Other,Female,2008,2125.0,2.0,2.135340251
60,60-69,56058.75,40K-60K,10.934155526931834,,HS or assoc,HS or less,,No,Democrat,Obama,White,Male,2008,2125.0,2.0,0.875489503
46,40-49,45677.5,40K-60K,10.72936111428582,Decrease,HS or assoc,HS or less,Reduced a lot,No,Republican,Obama,White,Female,2008,2125.0,2.0,1.067670125
37,30-39,7474.5,<20K,8.919252506389569,Increase or stay the same,No degree,HS or less,Remain the same,Yes,Independent,Obama,Other,Female,2008,2126.0,1.0,1.067670125
28,18-29,37372.5,30K-40K,10.52869041882367,Increase or stay the same,HS or assoc,HS or less,Increased a lot,Yes,Democrat,Obama,Other,Male,2008,2126.0,1.0,0.875489503
22,18-29,22838.75,20K-30K,10.036213933725875,Increase or stay the same,No degree,HS or less,Remain the same,No,Independent,Obama,White,Female,2008,2126.0,1.0,0.875489503
47,40-49,13495.625,<20K,9.510120837829096,Increase or stay the same,HS or assoc,HS or less,Remain the same,Yes,Democrat,Obama,White,Female,2008,2126.0,1.0,1.313234254
34,30-39,22838.75,20K-30K,10.036213933725875,Increase or stay the same,No degree,HS or less,Remain the same,No,Independent,Obama,White,Female,2008,2126.0,1.0,0.875489503
20,18-29,,,,,HS or assoc,HS or less,,Yes,Democrat,Obama,White,Female,2008,2126.0,2.0,3.203010376
63,60-69,415.25,<20K,6.028880748493404,Increase or stay the same,No degree,HS or less,Remain the same,Yes,Independent,Obama,Black,Female,2008,2126.0,2.0,0.437744751
47,40-49,56058.75,40K-60K,10.934155526931834,,HS or assoc,HS or less,,Yes,Republican,Obama,Other,Female,2008,2127.0,1.0,1.313234254
25,18-29,,,,Increase or stay the same,HS or assoc,HS or less,Remain the same,Yes,Democrat,Obama,Other,Male,2008,2127.0,1.0,1.313234254
21,18-29,17648.125,<20K,9.778384824423775,,No degree,HS or less,,Yes,Republican,Obama,Other,Male,2008,2127.0,2.0,1.313234254
40,40-49,11419.375,<20K,9.34306675316593,,No degree,HS or less,,No,Democrat,Obama,White,Male,2008,2127.0,2.0,0.875489503
20,18-29,45677.5,40K-60K,10.72936111428582,,HS or assoc,HS or less,,Yes,Democrat,Obama,White,Male,2008,2128.0,1.0,1.313234254
49,40-49,37372.5,30K-40K,10.52869041882367,Increase or stay the same,No degree,HS or less,Remain the same,Yes,Democrat,Obama,Other,Female,2008,2128.0,1.0,1.750979005
50,50-59,26991.25,20K-30K,10.203268018389041,Increase or stay the same,No degree,HS or less,Increased a lot,Yes,Democrat,Obama,White,Male,2008,2128.0,1.0,1.750979005
24,18-29,83050.0,80K-100K,11.32719811504144,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,White,Male,2008,2128.0,1.0,4.270680501
69,60-69,83050.0,80K-100K,11.32719811504144,Increase or stay the same,HS or assoc,Some college,Increased a little,Yes,Republican,Obama,White,Male,2008,2128.0,2.0,1.313234254
57,50-59,45677.5,40K-60K,10.72936111428582,,HS or assoc,Some college,,No,Democrat,Obama,Black,Male,2008,2128.0,2.0,0.875489503
74,70+,9343.125,<20K,9.14239605770378,Increase or stay the same,No degree,HS or less,Remain the same,No,Democrat,Obama,Other,Female,2008,2129.0,1.0,0.437744751
25,18-29,68516.25,60K-80K,11.134826222393984,Decrease,College,Some college,Reduced a little,No,Democrat,Obama,White,Female,2008,2129.0,1.0,1.067670125
27,18-29,56058.75,40K-60K,10.934155526931834,Increase or stay the same,HS or assoc,Some college,Remain the same,Yes,Democrat,Obama,Other,Female,2008,2129.0,2.0,2.135340251
31,30-39,11419.375,<20K,9.34306675316593,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Independent,Obama,White,Female,2008,2129.0,2.0,0.437744751
69,60-69,17648.125,<20K,9.778384824423775,,No degree,HS or less,,No,Republican,Obama,White,Female,2008,2130.0,1.0,0.437744751
,,415.25,<20K,6.028880748493404,Increase or stay the same,HS or assoc,Some college,Remain the same,Yes,Republican,Obama,White,Male,2008,2130.0,1.0,1.067670125
60,60-69,9343.125,<20K,9.14239605770378,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Democrat,Obama,Black,Male,2008,2130.0,1.0,0.437744751
20,18-29,31143.75,30K-40K,10.346368862029715,Decrease,HS or assoc,HS or less,Reduced a little,Yes,Democrat,Obama,Other,Female,2008,2130.0,1.0,0.875489503
30,30-39,11419.375,<20K,9.34306675316593,Increase or stay the same,HS or assoc,HS or less,Remain the same,Yes,Democrat,Obama,White,Male,2008,2130.0,2.0,0.875489503
50,50-59,68516.25,60K-80K,11.134826222393984,Decrease,College,Some college,Reduced a little,Yes,Democrat,Obama,White,Male,2008,2130.0,2.0,0.437744751
69,60-69,175621.4138,160K+,12.076085899217535,,HS or assoc,HS or less,,Yes,Democrat,Obama,White,Female,2008,2131.0,1.0,0.437744751
53,50-59,83050.0,80K-100K,11.32719811504144,,College,Some college,,Yes,Democrat,Obama,White,Male,2008,2131.0,1.0,0.437744751
46,40-49,19724.375,<20K,9.889610459534,Increase or stay the same,College,Some college,Increased a little,No,Democrat,Obama,Black,Female,2008,2131.0,1.0,0.437744751
26,18-29,,,,Increase or stay the same,HS or assoc,HS or less,Remain the same,Yes,Democrat,Obama,White,Male,2008,2131.0,1.0,1.313234254
27,18-29,,,,Decrease,HS or assoc,HS or less,Reduced a little,No,Democrat,Obama,White,Female,2008,2131.0,2.0,2.135340251
40,40-49,68516.25,60K-80K,11.134826222393984,,HS or assoc,HS or less,,No,Democrat,Obama,White,Female,2008,2131.0,2.0,0.875489503
56,50-59,37372.5,30K-40K,10.52869041882367,,HS or assoc,HS or less,,No,Republican,Obama,White,Female,2008,2132.0,1.0,3.203010376
37,30-39,56058.75,40K-60K,10.934155526931834,,HS or assoc,HS or less,,Yes,Democrat,Obama,White,Male,2008,2132.0,1.0,0.875489503
69,60-69,6228.75,<20K,8.736930949595614,,No degree,HS or less,,No,Independent,Obama,White,Female,2008,2132.0,1.0,0.437744751
50,50-59,83050.0,80K-100K,11.32719811504144,,HS or assoc,HS or less,,No,Republican,Obama,White,Male,2008,2132.0,2.0,0.875489503
37,30-39,17648.125,<20K,9.778384824423775,,College,Some college,,Yes,Republican,Obama,White,Female,2008,2132.0,2.0,0.875489503
